epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.53548,2.312,3.84325,2.93232,0.00356,1,0.03579,0.02633,0.51767,3.46732,1.11885,0,0,0
2,3.2243,1.6643,3.13806,2.09764,0.00358,1,0.03022,0.02528,0.53123,3.47788,1.13405,1.58448e-05,1.58448e-05,1.58448e-05
3,4.77476,1.93089,3.51655,2.24703,0.00359,1,0.05169,0.02937,0.52623,3.47372,1.15097,3.00393e-05,3.00393e-05,3.00393e-05
4,6.09118,2.01367,3.8073,2.44623,0.00362,1,0.07586,0.05214,0.4936,3.46997,1.14122,4.25835e-05,4.25835e-05,4.25835e-05
5,7.31222,1.75269,3.29149,2.32604,0.00362,1,0.07586,0.05214,0.4936,3.46997,1.14122,5.34774e-05,5.34774e-05,5.34774e-05
6,8.61088,2.37289,3.3371,2.97952,0.00371,1,0.25428,0.20287,0.51526,3.48162,1.16556,6.27209e-05,6.27209e-05,6.27209e-05
7,9.88587,2.28495,3.32287,2.62487,0.00371,1,0.25428,0.20287,0.51526,3.48162,1.16556,7.03141e-05,7.03141e-05,7.03141e-05
8,11.416,1.66743,2.99245,2.28186,0.00374,1,0.50441,0.45328,0.48368,3.47914,1.14297,7.62569e-05,7.62569e-05,7.62569e-05
9,12.7482,1.42516,3.01573,1.9516,0.00374,1,0.50441,0.45328,0.48368,3.47914,1.14297,8.05494e-05,8.05494e-05,8.05494e-05
10,14.0327,1.80073,3.15916,1.89157,0.0037,1,0.50725,0.4058,0.50025,3.44557,1.15089,8.31916e-05,8.31916e-05,8.31916e-05
11,15.3483,1.24935,3.74006,1.6658,0.0037,1,0.50725,0.4058,0.50025,3.44557,1.15089,8.41835e-05,8.41835e-05,8.41835e-05
12,16.5534,1.76075,4.06755,2.36786,0.0037,1,0.50725,0.4058,0.50025,3.44557,1.15089,8.3525e-05,8.3525e-05,8.3525e-05
13,17.7945,1.90576,4.5413,2.13921,0.0036,1,0.51593,0.36299,0.47823,3.47275,1.12942,8.12162e-05,8.12162e-05,8.12162e-05
14,18.9905,0.82561,3.61095,1.63428,0.0036,1,0.51593,0.36299,0.47823,3.47275,1.12942,7.72571e-05,7.72571e-05,7.72571e-05
15,20.2849,0.47405,3.43474,1.135,0.0036,1,0.51593,0.36299,0.47823,3.47275,1.12942,7.16477e-05,7.16477e-05,7.16477e-05
16,21.5571,0.94483,3.44597,1.83187,0.00371,1,0.53304,0.28805,0.302,3.44704,1.01147,6.43879e-05,6.43879e-05,6.43879e-05
17,22.7367,0.89345,3.36165,1.47581,0.00371,1,0.53304,0.28805,0.302,3.44704,1.01147,5.54778e-05,5.54778e-05,5.54778e-05
18,24.058,0.70999,3.35069,1.46626,0.00371,1,0.53304,0.28805,0.302,3.44704,1.01147,4.49173e-05,4.49173e-05,4.49173e-05
19,25.3046,0.40409,3.40204,1.16663,0.00371,1,0.53304,0.28805,0.302,3.44704,1.01147,3.27065e-05,3.27065e-05,3.27065e-05
20,26.6463,0.68746,3.35127,1.59836,0.00366,1,0.56857,0.20196,0.27851,3.45445,0.99106,1.88454e-05,1.88454e-05,1.88454e-05
